"","X1","X2","X3","X4","X5","X6","X7","Variables","VariableCount"
"73","Sex","Length","TurtlePres","LightCond*DaysSincePeak",NA,NA,NA,"Sex+ Length+ TurtlePres+ LightCond*DaysSincePeak",4
"74","Sex","Returner","PrevPasses","LightCond",NA,NA,NA,"Sex+ Returner+ PrevPasses+ LightCond",4
"75","Sex","Returner","PrevPasses","TurtlePres",NA,NA,NA,"Sex+ Returner+ PrevPasses+ TurtlePres",4
"76","Sex","Returner","PrevPasses","LightCond*DaysSincePeak",NA,NA,NA,"Sex+ Returner+ PrevPasses+ LightCond*DaysSincePeak",4
"77","Sex","Returner","LightCond","TurtlePres",NA,NA,NA,"Sex+ Returner+ LightCond+ TurtlePres",4
"78","Sex","Returner","LightCond","LightCond*DaysSincePeak",NA,NA,NA,"Sex+ Returner+ LightCond+ LightCond*DaysSincePeak",4
"79","Sex","Returner","TurtlePres","LightCond*DaysSincePeak",NA,NA,NA,"Sex+ Returner+ TurtlePres+ LightCond*DaysSincePeak",4
"80","Sex","PrevPasses","LightCond","TurtlePres",NA,NA,NA,"Sex+ PrevPasses+ LightCond+ TurtlePres",4
"81","Sex","PrevPasses","LightCond","LightCond*DaysSincePeak",NA,NA,NA,"Sex+ PrevPasses+ LightCond+ LightCond*DaysSincePeak",4
"82","Sex","PrevPasses","TurtlePres","LightCond*DaysSincePeak",NA,NA,NA,"Sex+ PrevPasses+ TurtlePres+ LightCond*DaysSincePeak",4
"83","Sex","LightCond","TurtlePres","LightCond*DaysSincePeak",NA,NA,NA,"Sex+ LightCond+ TurtlePres+ LightCond*DaysSincePeak",4
"84","Length","Returner","PrevPasses","LightCond",NA,NA,NA,"Length+ Returner+ PrevPasses+ LightCond",4
"85","Length","Returner","PrevPasses","TurtlePres",NA,NA,NA,"Length+ Returner+ PrevPasses+ TurtlePres",4
"86","Length","Returner","PrevPasses","LightCond*DaysSincePeak",NA,NA,NA,"Length+ Returner+ PrevPasses+ LightCond*DaysSincePeak",4
"87","Length","Returner","LightCond","TurtlePres",NA,NA,NA,"Length+ Returner+ LightCond+ TurtlePres",4
"88","Length","Returner","LightCond","LightCond*DaysSincePeak",NA,NA,NA,"Length+ Returner+ LightCond+ LightCond*DaysSincePeak",4
"89","Length","Returner","TurtlePres","LightCond*DaysSincePeak",NA,NA,NA,"Length+ Returner+ TurtlePres+ LightCond*DaysSincePeak",4
"90","Length","PrevPasses","LightCond","TurtlePres",NA,NA,NA,"Length+ PrevPasses+ LightCond+ TurtlePres",4
"91","Length","PrevPasses","LightCond","LightCond*DaysSincePeak",NA,NA,NA,"Length+ PrevPasses+ LightCond+ LightCond*DaysSincePeak",4
"92","Length","PrevPasses","TurtlePres","LightCond*DaysSincePeak",NA,NA,NA,"Length+ PrevPasses+ TurtlePres+ LightCond*DaysSincePeak",4
"93","Length","LightCond","TurtlePres","LightCond*DaysSincePeak",NA,NA,NA,"Length+ LightCond+ TurtlePres+ LightCond*DaysSincePeak",4
"94","Returner","PrevPasses","LightCond","TurtlePres",NA,NA,NA,"Returner+ PrevPasses+ LightCond+ TurtlePres",4
"95","Returner","PrevPasses","LightCond","LightCond*DaysSincePeak",NA,NA,NA,"Returner+ PrevPasses+ LightCond+ LightCond*DaysSincePeak",4
"96","Returner","PrevPasses","TurtlePres","LightCond*DaysSincePeak",NA,NA,NA,"Returner+ PrevPasses+ TurtlePres+ LightCond*DaysSincePeak",4
"97","Returner","LightCond","TurtlePres","LightCond*DaysSincePeak",NA,NA,NA,"Returner+ LightCond+ TurtlePres+ LightCond*DaysSincePeak",4
"98","PrevPasses","LightCond","TurtlePres","LightCond*DaysSincePeak",NA,NA,NA,"PrevPasses+ LightCond+ TurtlePres+ LightCond*DaysSincePeak",4
"99","Sex","Length","Returner","PrevPasses","LightCond",NA,NA,"Sex+ Length+ Returner+ PrevPasses+ LightCond",5
"100","Sex","Length","Returner","PrevPasses","TurtlePres",NA,NA,"Sex+ Length+ Returner+ PrevPasses+ TurtlePres",5
"101","Sex","Length","Returner","PrevPasses","LightCond*DaysSincePeak",NA,NA,"Sex+ Length+ Returner+ PrevPasses+ LightCond*DaysSincePeak",5
"102","Sex","Length","Returner","LightCond","TurtlePres",NA,NA,"Sex+ Length+ Returner+ LightCond+ TurtlePres",5
"103","Sex","Length","Returner","LightCond","LightCond*DaysSincePeak",NA,NA,"Sex+ Length+ Returner+ LightCond+ LightCond*DaysSincePeak",5
"104","Sex","Length","Returner","TurtlePres","LightCond*DaysSincePeak",NA,NA,"Sex+ Length+ Returner+ TurtlePres+ LightCond*DaysSincePeak",5
"105","Sex","Length","PrevPasses","LightCond","TurtlePres",NA,NA,"Sex+ Length+ PrevPasses+ LightCond+ TurtlePres",5
"106","Sex","Length","PrevPasses","LightCond","LightCond*DaysSincePeak",NA,NA,"Sex+ Length+ PrevPasses+ LightCond+ LightCond*DaysSincePeak",5
"107","Sex","Length","PrevPasses","TurtlePres","LightCond*DaysSincePeak",NA,NA,"Sex+ Length+ PrevPasses+ TurtlePres+ LightCond*DaysSincePeak",5
"108","Sex","Length","LightCond","TurtlePres","LightCond*DaysSincePeak",NA,NA,"Sex+ Length+ LightCond+ TurtlePres+ LightCond*DaysSincePeak",5
"109","Sex","Returner","PrevPasses","LightCond","TurtlePres",NA,NA,"Sex+ Returner+ PrevPasses+ LightCond+ TurtlePres",5
"110","Sex","Returner","PrevPasses","LightCond","LightCond*DaysSincePeak",NA,NA,"Sex+ Returner+ PrevPasses+ LightCond+ LightCond*DaysSincePeak",5
"111","Sex","Returner","PrevPasses","TurtlePres","LightCond*DaysSincePeak",NA,NA,"Sex+ Returner+ PrevPasses+ TurtlePres+ LightCond*DaysSincePeak",5
"112","Sex","Returner","LightCond","TurtlePres","LightCond*DaysSincePeak",NA,NA,"Sex+ Returner+ LightCond+ TurtlePres+ LightCond*DaysSincePeak",5
"113","Sex","PrevPasses","LightCond","TurtlePres","LightCond*DaysSincePeak",NA,NA,"Sex+ PrevPasses+ LightCond+ TurtlePres+ LightCond*DaysSincePeak",5
"114","Length","Returner","PrevPasses","LightCond","TurtlePres",NA,NA,"Length+ Returner+ PrevPasses+ LightCond+ TurtlePres",5
"115","Length","Returner","PrevPasses","LightCond","LightCond*DaysSincePeak",NA,NA,"Length+ Returner+ PrevPasses+ LightCond+ LightCond*DaysSincePeak",5
"116","Length","Returner","PrevPasses","TurtlePres","LightCond*DaysSincePeak",NA,NA,"Length+ Returner+ PrevPasses+ TurtlePres+ LightCond*DaysSincePeak",5
"117","Length","Returner","LightCond","TurtlePres","LightCond*DaysSincePeak",NA,NA,"Length+ Returner+ LightCond+ TurtlePres+ LightCond*DaysSincePeak",5
"118","Length","PrevPasses","LightCond","TurtlePres","LightCond*DaysSincePeak",NA,NA,"Length+ PrevPasses+ LightCond+ TurtlePres+ LightCond*DaysSincePeak",5
"119","Returner","PrevPasses","LightCond","TurtlePres","LightCond*DaysSincePeak",NA,NA,"Returner+ PrevPasses+ LightCond+ TurtlePres+ LightCond*DaysSincePeak",5
"120","Sex","Length","Returner","PrevPasses","LightCond","TurtlePres",NA,"Sex+ Length+ Returner+ PrevPasses+ LightCond+ TurtlePres",6
"121","Sex","Length","Returner","PrevPasses","LightCond","LightCond*DaysSincePeak",NA,"Sex+ Length+ Returner+ PrevPasses+ LightCond+ LightCond*DaysSincePeak",6
"122","Sex","Length","Returner","PrevPasses","TurtlePres","LightCond*DaysSincePeak",NA,"Sex+ Length+ Returner+ PrevPasses+ TurtlePres+ LightCond*DaysSincePeak",6
"123","Sex","Length","Returner","LightCond","TurtlePres","LightCond*DaysSincePeak",NA,"Sex+ Length+ Returner+ LightCond+ TurtlePres+ LightCond*DaysSincePeak",6
"124","Sex","Length","PrevPasses","LightCond","TurtlePres","LightCond*DaysSincePeak",NA,"Sex+ Length+ PrevPasses+ LightCond+ TurtlePres+ LightCond*DaysSincePeak",6
"125","Sex","Returner","PrevPasses","LightCond","TurtlePres","LightCond*DaysSincePeak",NA,"Sex+ Returner+ PrevPasses+ LightCond+ TurtlePres+ LightCond*DaysSincePeak",6
"126","Length","Returner","PrevPasses","LightCond","TurtlePres","LightCond*DaysSincePeak",NA,"Length+ Returner+ PrevPasses+ LightCond+ TurtlePres+ LightCond*DaysSincePeak",6
"127","Sex","Length","Returner","PrevPasses","LightCond","TurtlePres","LightCond*DaysSincePeak","Sex+ Length+ Returner+ PrevPasses+ LightCond+ TurtlePres+ LightCond*DaysSincePeak",7
