"","X","PIT","DateTime","FirstUpLoc","FirstUpOrigLoc","TagDate","Sex","Length","JSATS","RawDateTime","System","Site","Year","TimeLag","FirstUpPresNum","NumDetsInPres","TimeSinceRelease","FishPres","FirstUpTime","StartDateTime","EndDateTime","Duration","LastDownTime","PassDuration","LastDownPresNum","LastDownFishPres","PassTime","PassagePresNum","PassageFishPres"
"1",3250,"228000009953",2014-05-03 05:03:06.25,4,"4","2014-04-24 00:00:00","F",245,"G72DFA3AD","2014-05-03 05:03:06.25","PIT","TG",2014,37.9200000762939,8,102,9.21048900462963,8,2014-05-03 05:03:06.25,2014-05-03 04:47:01.75,2014-05-03 05:03:06.25,16.0748333334923,2014-05-03 05:02:28.31,0.632166667779287,8,8,2014-05-03 05:02:28.31,8,8
"2",6835,"228000009954",2014-05-12 08:13:39.72,4,"4","2014-04-24 00:00:00","F",250,"G72633470","2014-05-12 08:13:39.72","PIT","TG",2014,10.8800001144409,21,3021,18.3428208333337,3,2014-05-12 08:13:39.72,2014-05-11 21:34:55.75,2014-05-12 08:13:39.72,638.73283333381,2014-05-12 08:13:28.82,0.181500001748403,21,3,2014-05-12 08:13:39.72,21,3
"3",8876,"228000009955",2014-05-03 19:01:49.48,4,"4","2014-04-24 00:00:00","F",249,"G72BB5DA7","2014-05-04 19:01:49.48","PIT","TG",2014,560.589999914169,41,264,9.79293379629652,8,2014-05-03 19:01:49.48,2014-05-03 16:16:07.98,2014-05-03 19:01:49.48,165.691666666667,2014-05-03 18:52:28.89,9.34316666523616,41,8,2014-05-03 18:52:28.89,41,8
"4",12697,"228000009956",2014-05-03 23:21:06.55,6,"A1","2014-04-24 00:00:00","F",250,"G725C9237","2014-05-03 23:21:06.58","PIT","BBI",2014,33695.0299999714,52,5,9.97299270833256,9,2014-05-03 23:21:06.55,2014-05-03 23:21:06.55,2014-05-03 23:21:06.55,0,2014-05-03 13:59:31.52,561.583833332856,51,8,2014-05-03 13:59:31.52,51,8
"5",17102,"228000009967",2014-05-17 17:34:30.18,6,"A1","2014-05-13 00:00:00","F",228,"G72B0661A","2014-05-17 17:34:30.18","PIT","BBI",2014,23475.7300000191,85,52,4.73229375000077,5,2014-05-17 17:34:30.18,2014-05-17 17:34:30.18,2014-05-17 17:34:30.18,0,2014-05-17 11:03:14.45,391.262166666985,84,4,2014-05-17 11:03:14.45,84,4
"6",25596,"228000009968",2014-05-15 10:14:33.54,4,"4","2014-05-13 00:00:00","F",236,"G72DA607A","2014-05-15 10:14:33.57","PIT","TG",2014,27.8799998760223,118,2453,2.42677731481415,7,2014-05-15 10:14:33.54,2014-05-15 00:39:58.10,2014-05-15 10:14:33.54,574.59066666762,2014-05-15 10:14:05.68,0.464499998092651,118,7,2014-05-15 10:14:33.54,118,7
"7",27129,"228000009970",2014-05-16 09:03:04.13,4,"6","2014-05-13 00:00:00","F",220,"G7263DD05","2014-05-16 09:03:04.13","PIT","TG",2014,79.2400000095367,144,73,3.37713113426058,6,2014-05-16 09:03:04.13,2014-05-16 08:44:45.44,2014-05-16 09:03:04.13,18.3115000009537,2014-05-16 09:01:44.89,1.32066666682561,144,6,2014-05-16 09:01:44.89,144,6
"8",32728,"228000014403",2014-05-16 10:12:10.41,4,"4","2014-05-14 00:00:00","F",230,"G7293D6BC","2014-05-16 10:12:10.41","PIT","TG",2014,45.3100001811981,194,393,2.4251204861121,5,2014-05-16 10:12:10.41,2014-05-16 08:47:48.25,2014-05-16 10:12:10.41,84.3690000017484,2014-05-16 10:11:25.08,0.755333336194356,194,5,2014-05-16 10:11:25.08,194,5
"9",36211,"228000014408",2014-05-16 10:42:40.17,4,"4","2014-05-14 00:00:00","F",227,"G725CD271","2014-05-16 10:42:40.17","PIT","TG",2014,1.65000009536743,232,621,2.44629826388977,6,2014-05-16 10:42:40.17,2014-05-16 08:47:34.79,2014-05-16 10:42:40.17,115.089333335559,2014-05-16 10:42:38.50,0.0276666680971781,232,6,2014-05-16 10:42:40.17,232,6
"10",39194,"228000014411",2014-05-17 11:40:24.99,4,"4","2014-05-14 00:00:00","F",240,"G725B466F","2014-05-17 11:40:24.99","PIT","TG",2014,12.9900000095367,252,194,3.48640034722233,2,2014-05-17 11:40:24.99,2014-05-17 10:49:26.24,2014-05-17 11:40:24.99,50.9791666666667,2014-05-17 11:40:12.00,0.216500000158946,252,2,2014-05-17 11:40:24.99,252,2
"11",43947,"228000014414",2014-05-16 12:41:33.54,4,"4","2014-05-14 00:00:00","M",209,"G7271B97C","2014-05-17 12:41:33.57","PIT","TG",2014,8.10999989509583,291,1501,2.52886064814749,4,2014-05-16 12:41:33.54,2014-05-16 06:35:42.18,2014-05-16 12:41:33.54,365.856333331267,2014-05-16 12:41:25.45,0.134999998410543,291,4,2014-05-16 12:41:33.54,291,4
"12",45212,"228000014417",2014-05-17 19:51:02.57,6,"A1","2014-05-14 00:00:00","F",208,"G723CDC34","2014-05-17 19:51:02.60","PIT","BBI",2014,12982.8599998951,341,11,3.82711331018419,3,2014-05-17 19:51:02.57,2014-05-17 19:51:02.57,2014-05-17 19:51:02.57,0,2014-05-17 16:14:39.73,216.380833331744,340,2,2014-05-17 16:14:39.73,340,2
"13",51223,"228000014442",2015-04-28 19:46:58.13,4,"4","2015-04-18 06:30:00","M",243,"G722B29FD","2015-04-28 19:46:58.13","PIT","TG",2015,7.97000002861023,387,436,10.553450578705,4,2015-04-28 19:46:58.13,2015-04-28 19:17:28.30,2015-04-28 19:46:58.13,29.4968333363533,2015-04-28 19:46:50.16,0.13283333381017,387,4,2015-04-28 19:46:58.13,387,4
"14",54212,"228000014443",2015-04-26 19:17:31.64,4,"4","2015-04-18 06:30:00","M",228,"G720681D8","2015-04-26 19:17:31.64","PIT","TG",2015,10.0600001811981,406,855,8.53300509259381,4,2015-04-26 19:17:31.64,2015-04-26 16:47:26.30,2015-04-26 19:17:31.64,150.088666669528,2015-04-26 19:17:21.56,0.167833336194356,406,4,2015-04-26 19:17:31.64,406,4
"15",56383,"228000014444",2015-04-25 20:09:14.17,4,"4","2015-04-18 06:30:00","M",248,"G7205767A","2015-04-25 20:09:14.17","PIT","TG",2015,16.25,424,150,7.56891400463051,6,2015-04-25 20:09:14.17,2015-04-25 18:59:17.01,2015-04-25 20:09:14.17,69.9523333350817,2015-04-25 20:08:57.92,0.270833333333333,424,6,2015-04-25 20:09:14.17,424,6
"16",60091,"228000014445",2015-04-27 20:14:14.25,4,"4","2015-04-18 06:30:00","M",247,"G722A6BC3","2015-04-27 20:14:14.26","PIT","TG",2015,4.46000003814697,449,2982,9.57238715277778,3,2015-04-27 20:14:14.25,2015-04-27 15:53:36.80,2015-04-27 20:14:14.25,260.623833334446,2015-04-27 20:14:09.77,0.0745000004768372,449,3,2015-04-27 20:14:14.25,449,3
"17",64282,"228000014447",2015-04-26 17:05:40.25,4,"4","2015-04-18 06:30:00","F",243,"G72064112","2015-04-26 17:05:40.27","PIT","TG",2015,16.3699998855591,484,449,8.44143819444433,10,2015-04-26 17:05:40.25,2015-04-26 15:59:14.75,2015-04-26 17:05:40.25,66.425,2015-04-26 17:05:23.89,0.272666664918264,484,10,2015-04-26 17:05:40.25,484,10
"18",66367,"228000014448",2015-04-26 05:09:40.46,4,"4","2015-04-18 06:30:00","M",239,"G722AEB4F","2015-04-26 05:09:40.46","PIT","TG",2015,13.7799999713898,500,99,7.94421828703748,4,2015-04-26 05:09:40.46,2015-04-26 04:45:52.08,2015-04-26 05:09:40.46,23.8060000022252,2015-04-26 05:09:26.68,0.22966666618983,500,4,2015-04-26 05:09:40.46,500,4
"19",67621,"228000014450",2015-04-26 20:18:57.34,5,"UP","2015-04-18 06:30:00","M",220,"G720649D0","2015-04-26 20:18:57.367","Acoustic","UP",2015,57.9399998188019,530,467,8.57566388888768,2,2015-04-26 20:18:57.34,2015-04-26 19:29:30.25,2015-04-26 20:18:57.34,49.4516666650772,2015-04-26 20:17:59.42,0.965499997138977,530,2,2015-04-26 20:17:59.42,530,2
"20",70602,"228000014451",2015-04-26 19:44:45.74,4,"4","2015-04-18 06:30:00","F",265,"G7205721B","2015-04-26 19:44:45.74","PIT","TG",2015,8.38000011444092,564,271,8.55191828703715,4,2015-04-26 19:44:45.74,2015-04-26 17:37:38.19,2015-04-26 19:44:45.74,127.125833332539,2015-04-26 19:44:37.34,0.139833335081736,564,4,2015-04-26 19:44:45.74,564,4
"21",70988,"228000014452",2015-04-27 02:09:16.50,5,"UP","2015-04-18 06:30:00","F",259,"G72070613","2015-04-27 02:09:16.524","Acoustic","UP",2015,7206.88999986649,591,192,8.81894120370348,4,2015-04-27 02:09:16.50,2015-04-27 02:09:16.50,2015-04-27 02:09:16.50,0,2015-04-26 20:09:44.25,359.5375,589,3,2015-04-26 20:09:44.25,589,3
"22",71311,"228000014453",2015-04-28 21:39:15.57,4,"4","2015-04-18 06:30:00","M",231,"G722AB1EA","2015-04-28 21:39:15.60","PIT","TG",2015,4.93999981880188,613,211,10.6314304398138,3,2015-04-28 21:39:15.57,2015-04-28 21:25:41.59,2015-04-28 21:39:15.57,13.5663333336512,2015-04-28 21:39:10.65,0.0821666638056437,613,3,2015-04-28 21:39:15.57,613,3
"23",75820,"228000014454",2015-04-21 14:04:52.58,4,"4","2015-04-18 06:30:00","M",236,"G7229A543","2015-04-21 14:04:52.61","PIT","TG",2015,4.07999992370605,663,860,3.31588657407297,6,2015-04-21 14:04:52.58,2015-04-21 12:59:24.99,2015-04-21 14:04:52.58,65.4601666649183,2015-04-21 14:04:48.50,0.0679999987284342,663,6,2015-04-21 14:04:52.58,663,6
"24",80026,"228000014456",2015-04-27 19:39:09.51,4,"4","2015-04-18 06:30:00","F",235,"G7207110D","2015-04-27 19:39:09.54","PIT","TG",2015,11.7400000095367,682,1682,9.54802696759226,3,2015-04-27 19:39:09.51,2015-04-27 17:10:44.71,2015-04-27 19:39:09.51,148.413666665554,2015-04-27 19:38:57.77,0.195666666825612,682,3,2015-04-27 19:39:09.51,682,3
"25",82340,"228000014458",2015-04-22 04:52:50.51,4,"4","2015-04-18 06:30:00","M",221,"G722AA3CB","2015-04-22 04:52:50.54","PIT","TG",2015,14.2799999713898,702,687,3.93252928240708,5,2015-04-22 04:52:50.51,2015-04-22 03:51:01.91,2015-04-22 04:52:50.51,61.810333331426,2015-04-22 04:52:36.25,0.237833333015442,702,5,2015-04-22 04:52:50.51,702,5
"26",82872,"228000014459",2015-04-30 19:57:19.53,4,"4","2015-04-18 06:30:00","M",224,"G720698D9","2015-04-30 19:57:19.56","PIT","TG",2015,25.1099998950958,737,368,12.5606429398143,5,2015-04-30 19:57:19.53,2015-04-30 19:20:11.34,2015-04-30 19:57:19.53,37.1365000009537,2015-04-30 19:56:54.44,0.418333331743876,737,5,2015-04-30 19:57:19.53,737,5
"27",83444,"228000014460",2015-05-01 19:54:08.46,4,"4","2015-04-18 06:30:00",NA,243,"G720567B9","2015-05-01 19:54:08.46","PIT","TG",2015,6.27999997138977,765,335,13.5584312500004,3,2015-05-01 19:54:08.46,2015-05-01 19:26:49.44,2015-05-01 19:54:08.46,27.3169999996821,2015-05-01 19:54:02.18,0.10466666618983,765,3,2015-05-01 19:54:08.46,765,3
"28",86182,"228000014461",2015-04-26 20:51:30.30,6,"A1","2015-04-19 06:35:00","M",219,"G722AE9F3","2015-04-26 20:51:30.33","PIT","HT",2015,4495.51999998093,795,28,7.5947953703696,7,2015-04-26 20:51:30.30,2015-04-26 20:51:30.30,2015-04-26 20:51:30.30,0,2015-04-26 19:36:34.78,74.9253333330154,794,6,2015-04-26 19:36:34.78,794,6
"29",87559,"228000014464",2015-04-26 19:31:09.70,5,"UP","2015-04-19 06:34:59","M",238,"G72069798","2015-04-26 19:31:09.704","Acoustic","UP",2015,93.2300000190735,821,168,7.53901273148203,3,2015-04-26 19:31:09.70,2015-04-26 18:41:32.25,2015-04-26 19:31:09.70,49.6241666674614,2015-04-26 19:29:36.47,1.55383333365122,821,3,2015-04-26 19:29:36.47,821,3
"30",91378,"228000014468",2015-04-26 20:08:42.92,5,"UP","2015-04-19 06:34:59","F",260,"G722B255E","2015-04-26 20:08:42.927","Acoustic","UP",2015,2328.03999996185,867,8,7.56509166666755,5,2015-04-26 20:08:42.92,2015-04-26 20:08:42.92,2015-04-26 20:08:42.92,0,2015-04-26 19:29:54.88,38.8006666660309,866,4,2015-04-26 19:29:54.88,866,4
